epoch,train_loss,train_acc,val_acc,noiseless_val_acc,final_train_acc,final_val_acc,final_noiseless_val_acc,sensitivity,sens_f,sens_g,err_f,err_g,entropy,lr,depth,d_model,dropout,heads,d_ffn,n_bool,n_bits,bf_bool
185,0.533175635869336,0.7623407643312102,0.7525958466453674,0.981629392971246,0.7770700636942676,0.7306309904153354,0.922923322683706,3.0649,3.28125,3.28125,0.24721261875,0.24721261875,0.7828130758848086,0.000251,4,64,0.05,2,256,7,10,0.1
59,0.6746226571927405,0.5812101910828026,0.5784744408945687,0.5843650159744409,0.6138535031847133,0.5613019169329073,0.6271964856230032,0.1513,3.59375,1.796875,0.42583768034304,0.40551421560191997,0.960010906949452,0.000158,2,32,0.05,8,256,7,10,0.24
111,0.616652841590772,0.6793391719745223,0.658047124600639,0.9395966453674122,0.7165605095541401,0.6261980830670927,0.8294728434504792,2.865,3.0625,2.875,0.32786890444800004,0.32777053702400005,0.8869372463813914,0.000398,3,128,0.05,8,64,6,10,0.16
255,0.6412631311234395,0.6482882165605095,0.6345846645367412,0.8581269968051118,0.6474920382165605,0.6330870607028753,0.8738019169329073,1.4574,2.125,1.5625,0.36889461440000004,0.3644767472,0.9316461966668532,0.003,4,128,0.05,8,128,5,10,0.26
281,0.6150517547206514,0.6785429936305732,0.6597444089456869,0.864117412140575,0.6970541401273885,0.6456669329073482,0.8636182108626198,3.1287,3.84375,3.734375,0.32937376061642,0.32915679052518,0.8953560572762784,0.000158,3,64,0.05,2,32,7,10,0.13
60,0.6109962222302795,0.6873009554140127,0.6879992012779552,0.9353035143769968,0.7048168789808917,0.669229233226837,0.8893769968051118,2.2659,2.8125,2.5,0.3106687313920001,0.309487175296,0.8632771027419937,0.001,4,16,0.05,4,256,6,10,0.16
169,0.6680671394250954,0.6048964968152867,0.6105231629392971,0.8160942492012779,0.612062101910828,0.6035343450479234,0.7957268370607029,1.8118,2.8125,2.0625,0.3953676672,0.3866342496,0.947659034355941,0.005,1,32,0.05,8,64,6,10,0.24
500,0.577555132709491,0.7269108280254777,0.7062699680511182,0.8910742811501597,0.7269108280254777,0.7062699680511182,0.8910742811501597,2.8648,3.703125,3.703125,0.27083964843749997,0.27083964843749997,0.8221160880693859,0.000158,1,32,0.05,4,256,7,10,0.1
304,0.609257331509499,0.6863057324840764,0.6707268370607029,0.9542731629392971,0.6922770700636943,0.65814696485623,0.9126397763578274,2.8165,2.9375,2.9375,0.3267972229120001,0.3267972229120001,0.9025783361447202,0.000251,4,128,0.05,4,128,6,10,0.16
331,0.6487644527368485,0.6373407643312102,0.6340854632587859,0.6876996805111821,0.6373407643312102,0.6230031948881789,0.6587460063897763,1.2548,3.484375,2.859375,0.34787398011904,0.34451242901504003,0.9038403271043594,0.005,1,128,0.05,8,32,7,10,0.16
38,0.16529583617463517,1.0,1.0,1.0,1.0,1.0,1.0,2.875,2.875,2.875,0.0,0.0,0.0,0.001,4,64,0.05,2,256,5,10,0.0
193,0.12781378457465084,1.0,1.0,1.0,1.0,1.0,1.0,3.337,3.34375,3.34375,0.0,0.0,0.0,0.000251,2,16,0.05,4,64,7,10,0.0
306,0.6543509223658568,0.6214171974522293,0.6113218849840255,0.8406549520766773,0.6240047770700637,0.6062300319488818,0.7988218849840255,1.6434,2.5625,2.0625,0.3825941376,0.37696773759999996,0.9385873459631418,0.000631,2,128,0.05,2,32,5,10,0.24
493,0.5177109949528031,0.7856289808917197,0.7823482428115016,0.9398961661341853,0.7768710191082803,0.7737619808306709,0.9251198083067093,2.6885,2.875,2.875,0.19342066483200004,0.19342066483200004,0.6922026634097147,0.000631,1,16,0.05,2,128,6,10,0.08
